dhis2_facility_uid,dhis2_facility_name,dhis2_subcounty_uid,dhis2_subcounty_name,dhis2_district_uid,dhis2_district_name,dhis2_region
RxPKxSBe0DC,Abim Hospital,SVXuVZuvsit,Abim Town Council,NREoMszwQZW,Abim District,Karamoja
ltIECAx2ppI,Abim Obolokome HC II,YeM7sYuP1xa,Morulem Subcounty,NREoMszwQZW,Abim District,Karamoja
vXlnJIdin7f,Adea HC II,YeM7sYuP1xa,Morulem Subcounty,NREoMszwQZW,Abim District,Karamoja
RLWAwgTDjSJ,Alerek HC III,un9dv9VS0Cd,Alerek Subcounty,NREoMszwQZW,Abim District,Karamoja
Owvv3PbIrZ2,Amita Prison HC II,A8Xv1XbkdrA,Abim Subcounty,NREoMszwQZW,Abim District,Karamoja
VVtn6yxIz5D,Arembwola HC II,A8Xv1XbkdrA,Abim Subcounty,NREoMszwQZW,Abim District,Karamoja
Ug8m4dtpeYZ,Atunga HC II,A8Xv1XbkdrA,Abim Subcounty,NREoMszwQZW,Abim District,Karamoja
sYhGbKU5621,Awach HC II,LglZoR12TJd,Awach Subcounty (Abim Subcounty),NREoMszwQZW,Abim District,Karamoja
JO1cLIghdBv,Gangming HC II,BBRR0ZCNp9p,Lotuke Subcounty,NREoMszwQZW,Abim District,Karamoja
ZotVVjcyDdV,Kanu HC II,A8Xv1XbkdrA,Abim Subcounty,NREoMszwQZW,Abim District,Karamoja
aT1ytslGHPP,Katabok (Abim) HC II,YeM7sYuP1xa,Morulem Subcounty,NREoMszwQZW,Abim District,Karamoja
eVqlzAGda5U,Kiru HC II,SVXuVZuvsit,Abim Town Council,NREoMszwQZW,Abim District,Karamoja
RnktSI9w0ZM,Koya HC II,hd0kmWrpBLA,Magamaga Subcounty (Abim Subcounty),NREoMszwQZW,Abim District,Karamoja
hIuSd1NGumG,Morulem HC III,YeM7sYuP1xa,Morulem Subcounty,NREoMszwQZW,Abim District,Karamoja
aZEsILFiYCF,Nyakwae HC III,QT2X5ExHi0h,Nyakwae Subcounty,NREoMszwQZW,Abim District,Karamoja
aPv6owroI2J,Opopongo HC II,QT2X5ExHi0h,Nyakwae Subcounty,NREoMszwQZW,Abim District,Karamoja
Tyxrv2J0s0m,Oreta HC II,QT2X5ExHi0h,Nyakwae Subcounty,NREoMszwQZW,Abim District,Karamoja
pZhYWxNWH94,Orwamuge HC III,BBRR0ZCNp9p,Lotuke Subcounty,NREoMszwQZW,Abim District,Karamoja
gdsxa9EwgAJ,Oscar Military Battalion HC II,SVXuVZuvsit,Abim Town Council,NREoMszwQZW,Abim District,Karamoja
jhtjCBU3lZG,Pupu Kamuya HC II,QT2X5ExHi0h,Nyakwae Subcounty,NREoMszwQZW,Abim District,Karamoja
