facility,level,hub,district,region,dhis2_uid,dhis2_name,DHIS2_UID,HIBRID_UID
Abako H/C III,H/C III,Alebtong Hub    ,Alebtong,Mid Northern,yDPmjwoOIxi,Abako HC III,yDPmjwoOIxi,jzdeebYteBA
Aber Hospital,Hospital,Aber Hub    ,Oyam,Mid Northern,cDGKAJzfkpf,Aber Hospital,cDGKAJzfkpf,Kt0ljPxfLwO
Abim Hospital,Hospital,Abim Hub     ,Abim,North East,RxPKxSBe0DC,Abim Hospital,RxPKxSBe0DC,Ur5joMa50tH
Aboke H/C IV,H/C IV,Aber Hub    ,Kole,Mid Northern,UIhutvdIhqU,Aboke HC IV,UIhutvdIhqU,OFeve6mb2Ew
Abongomola H/C III,H/C III,Apac Hub    ,Kwania,Mid Northern,xzRSc5XHzys,Abongomola HC III,xzRSc5XHzys,R6U9bVkVngA
Achol Pii H/C III,H/C III,Kalongo Hub   ,Agago,Mid Northern,aKoVWgIufTx,Achol Pii HC III,aKoVWgIufTx,acyCUK9DvnD
Acholi Bur H/C III,H/C III,Pajule Hub     ,Pader,Mid Northern,KgFiiUmrRxI,Acholi-Bur HC III,KgFiiUmrRxI,uO5E35ZxDq3
Adjumani Hospital,Hospital,Adjumani Hub   ,Adjumani,West Nile,hvtKTUxWNrt,Adjumani HOSPITAL,hvtKTUxWNrt,HL664Gc9bd5
Adok H/C II,H/C II,Dokolo Hub  ,Dokolo,Mid Northern,tdWJ67qCYZK,Adok HC II,#N/A,wJu1XSAEbFE
Aduku H/C II (NGO),H/C II,Apac Hub    ,Apac,Mid Northern,YrbvkUaWpi1,Aduku Mission HC II,#N/A,NuDlJSWeN4q
Aduku H/C IV ,H/C IV,Apac Hub    ,Kwania,Mid Northern,\N,Aduku HC IV,WEH3aMvIS0B,lb586TUJMdO
Agali H/C III,H/C III,Lira Hub   ,Lira,Mid Northern,I9nJzN3m8qL,Agali HC III,I9nJzN3m8qL,jcRsnlo0Bym
Agoro H/C III,H/C III,Madi Opei Hub   ,Lamwo,Mid Northern,tvKjvN8d4rR,Lamwo Agoro HC III GOVT,tvKjvN8d4rR,CzKcjYiRytm
Agu H/C III,H/C III,Ngora Hub    ,Ngora,North East,\N,Agu HC III,S70E0FJrMtU,q3DBsSFeJSG
Agule H/C III,H/C III,Pallisa Hub   ,Pallisa,Mid Eastern,\N,Agule HC III,aMrHxMQoKXP,bw7OnardNv1
Agulurude H/C III,H/C III,Aber Hub    ,Oyam,Mid Northern,aes9vvQi4Df,Agulurude HC III,aes9vvQi4Df,JQkhYmqDIEV
Agwata H/C III,H/C III,Dokolo Hub  ,Dokolo,Mid Northern,sYHZIUFx50X,Agwatta HC III,sYHZIUFx50X,eO5AS7VsVll
Akalo H/C III,H/C III,Lira Hub   ,Kole,Mid Northern,h9Jydxolx2q,Akalo HC III,h9Jydxolx2q,rHBvcYa0BG1
Akokoro H/C III,H/C III,Apac Hub    ,Apac,Mid Northern,rjOHz4O83zh,Akokoro HC III,rjOHz4O83zh,zVaKl0ju03u
Akuna Laber H/C III,H/C III,Kitgum Hub   ,Kitgum,Mid Northern,aWMoXZucGiV,Akuna Laber HC III,aWMoXZucGiV,QAZ5H7f8Z2l
Alebtong H/C IV,H/C IV,Alebtong Hub    ,Alebtong,Mid Northern,RdmsO9Kftg9,Alebtong HC IV,RdmsO9Kftg9,EAVDFl6ErrI
Alerek H/C III,H/C III,Abim Hub     ,Abim,North East,RLWAwgTDjSJ,Alerek HC III,RLWAwgTDjSJ,tyOJkFIXdV4
Alero H/C III,H/C III,Anaka Hub   ,Nwoya,Mid Northern,EPyMwPkmKPx,Alero HC III,EPyMwPkmKPx,AlMAmdXlp6j
Alito H/C III,H/C III,Lira Hub   ,Kole,Mid Northern,avAlXE2E7Re,Alito HC III,avAlXE2E7Re,LecY0gJlQjc
Alive Medical Services H/C III,H/C III,Kampala Hub,Kampala,Kampala,PHhcBpjIWvL,Alive Medical Services HC III,PHhcBpjIWvL,ivxMlosa0Ar
Amach H/C IV,H/C IV,Lira Hub   ,Lira,Mid Northern,\N,Amach HC IV,ah2PY0hhVkV,LaZe5zFSSTC
Amai Community Hospital,Hospital,Amolatar Hub   ,Amolatar,Mid Northern,Zk9bvpSxThA,Amai Community Hospital,Zk9bvpSxThA,vKKN0cetMnb
Amolatar H/C IV ,H/C IV,Amolatar Hub   ,Amolatar,Mid Northern,\N,Amolatar HC IV,XazfKCvCCLS,KWHWcnDmZba
